Answer: 
( _[]_[]_[]_[]_[]_ , 231 )
( _[_[]_[_[]_[_[]_]]]_ , 52 )
( _[_[]_[[]_[]_[]_]]_ , 21 )
( _[_[]_[[]_[_[]_]_]]_ , 86 )
( _[_[]_[[]_[_[]]_]]_ , 51 )
( _[_[]_[[]_[[]_]_]]_ , 51 )
( _[_[]_[[][]_[]_]]_ , 27 )
( _[_[]_[[][][]_]]_ , 18 )
( _[_[]_[[][[]_]_]]_ , 22 )
( _[_[]_[[][_[]]_]]_ , 29 )
( _[_[]_[[][_[]_]_]]_ , 52 )
( _[_[]_[[]_[][]_]]_ , 12 )
( _[_[]_[_[_[]]_[]_]]_ , 138 )
( _[_[]_[_[[]_]_[]_]]_ , 98 )
( _[_[]_[_[_[]_]_[]_]]_ , 135 )
( _[_[]_[_[]_[]_[]_]]_ , 27 )
( _[_[]_[[]_[_[]]]]_ , 16 )
( _[_[]_[[]_[[]_]]]_ , 24 )
( _[_[]_[[]_[[_[]_]_]]]_ , 4 )
( _[_[]_[[]_[_[]_]]]_ , 40 )
( _[_[]_[[[]_[]_]_]]_ , 93 )
( _[_[]_[[_[_[]]_]_]]_ , 280 )
( _[_[]_[[_[][]_]_]]_ , 82 )
( _[_[]_[[[_[_[]_]]_]_]]_ , 30 )
( _[_[]_[[[_[_[]]]_]_]]_ , 6 )
( _[_[]_[[[_[[]_]]_]_]]_ , 6 )
( _[_[]_[[[_[_[]_]_]_]_]]_ , 6 )
( _[_[]_[[_[_[_[]_]]_]_]]_ , 72 )
( _[_[_[]_]_[][]_[]]_ , 54 )
( _[_[_[]_]_[][]]_ , 1441 )
( _[_[_[]_]_[][[]_]]_ , 62 )
( _[_[_[]_]_[][_[]_]]_ , 189 )
( _[_[_[]_]_[[]_][]]_ , 156 )
( _[_[_[]_]_[_[]_][]]_ , 307 )
( _[_[_[]_]_[_[]]_[]]_ , 146 )
( _[_[_[]_]_[[]_]_[]]_ , 233 )
( _[_[_[]_]_[_[]_]_[]]_ , 340 )
( _[_[_[]_]_[]_[[]_]]_ , 66 )
( _[_[_[]_]_[]_[_[]_]]_ , 166 )
( _[_[_[]_]_[_[_[]_]]_[]]_ , 14 )
( _[_[_[]_]_[_[_[]]]]_ , 60 )
( _[_[_[]_]_[_[[]_]]]_ , 200 )
( _[_[_[]_]_[_[[_[]_]_]]]_ , 17 )
( _[_[_[]_]_[_[_[]_]]]_ , 397 )
( _[_[_[]]_[][]_[]]_ , 32 )
( _[_[_[]]_[][[]_]]_ , 26 )
( _[_[_[]]_[][_[]_]]_ , 59 )
( _[_[_[]]_[[]_][]]_ , 89 )
( _[_[_[]]_[_[]_]_[]]_ , 169 )
( _[_[_[]]_[_[]]_[]]_ , 49 )
( _[_[_[]]_[[]_]_[]]_ , 103 )
( _[_[_[]]_[]_[[]_]]_ , 22 )
( _[_[_[]]_[]_[_[]_]]_ , 51 )
( _[_[_[]]_[_[[_[]_]_]]]_ , 11 )
( _[_[[]_]_[][[]_]]_ , 6 )
( _[_[[]_]_[][_[]_]]_ , 29 )
( _[_[[]_]_[[]_][]]_ , 24 )
( _[_[[]_]_[[]_]_[]]_ , 38 )
( _[_[[_[]]_]_[][]]_ , 60 )
( _[_[[_[]]_]_[]_[]]_ , 99 )
( _[_[_[[]_]_]_[][]]_ , 71 )
( _[_[_[[]_]_]_[]_[]]_ , 89 )
( _[_[[[]_]_]_[][]]_ , 35 )
( _[_[[[]_]_]_[]_[]]_ , 51 )
( _[_[_[][]]_[][]]_ , 12 )
( _[_[_[][]]_[]_[]]_ , 16 )
( _[_[_[][]]_[[]_]]_ , 38 )
( _[_[_[][]]_[_[]_]]_ , 92 )
( _[_[_[[]_]]_[][]]_ , 43 )
( _[_[_[[]_]]_[]_[]]_ , 65 )
( _[_[_[[]_]]_[[]_]]_ , 102 )
( _[_[_[[]_]]_[_[]_]]_ , 242 )
( _[_[_[_[]_]]_[][]]_ , 42 )
( _[_[_[_[]_]]_[]_[]]_ , 56 )
( _[_[_[_[]_]]_[[]_]]_ , 84 )
( _[_[_[_[]_]]_[_[]_]]_ , 210 )
( _[_[_[_[]]_]_[][]]_ , 69 )
( _[_[_[_[]]_]_[]_[]]_ , 140 )
( _[_[_[_[]]_]_[[]_]]_ , 120 )
( _[_[_[_[]]_]_[_[]_]]_ , 362 )
( _[_[_[]_[]]_[]_[]]_ , 11 )
( _[_[_[]_[]]_[[]_]]_ , 8 )
( _[_[_[]_[]]_[_[]_]]_ , 20 )
( _[_[[][]]_[]_[]]_ , 14 )
( _[_[[][]]_[[]_]]_ , 16 )
( _[_[[][]]_[_[]_]]_ , 34 )
( _[_[_[_[]]]_[]_[]]_ , 34 )
( _[_[_[_[]]]_[[]_]]_ , 26 )
( _[_[_[_[]]]_[_[]_]]_ , 52 )
( _[_[_[]_[]_]_[[]_]]_ , 30 )
( _[_[_[]_[]_]_[_[]_]]_ , 49 )
( _[_[_[][]_]_[[]_]]_ , 20 )
( _[_[_[][]_]_[_[]_]]_ , 36 )
( _[_[[_[]_]_]_[[]_]]_ , 72 )
( _[_[[_[]_]_]_[_[]_]]_ , 195 )
( _[_[[[[]_]_]_]_[]]_ , 44 )
( _[_[[[[]_]_]_]_[[]_]]_ , 4 )
( _[_[[[[]_]_]_]_[_[]_]]_ , 6 )
( _[_[_[_[]_]_]_[[]_]]_ , 8 )
( _[_[_[_[]_]_]_[_[]_]]_ , 42 )
( _[_[_[]_[_[]_]]_[]]_ , 99 )
( _[_[_[][_[]]_]_[]]_ , 135 )
( _[_[_[][[]_]_]_[]]_ , 43 )
( _[_[_[_[]_[]]_]_[]]_ , 39 )
( _[_[_[[][]]_]_[]]_ , 64 )
( _[_[_[_[_[]]]_]_[]]_ , 83 )
( _[_[_[[]_]_[]]_[]]_ , 70 )
( _[_[[_[]]_[]_]_[]]_ , 101 )
( _[_[[][_[]]_]_[]]_ , 59 )
( _[_[[][[]_]_]_[]]_ , 49 )
( _[_[[]_[_[]_]_]_[]]_ , 177 )
( _[_[[][][]_]_[]]_ , 52 )
( _[_[[[]_][]_]_[]]_ , 76 )
( _[_[[_[]_][]_]_[]]_ , 80 )
( _[_[[]_[_[]]_]_[]]_ , 165 )
( _[_[_[[]_]_[]_]_[]]_ , 101 )
( _[_[_[[]_][]_]_[]]_ , 73 )
( _[_[[_[]]_[]]_[]]_ , 55 )
( _[_[_[[]_[]_]]_[]]_ , 193 )
( _[_[_[[][]]]_[]]_ , 58 )
( _[_[_[[]_[]]]_[]]_ , 102 )
( _[_[_[[_[]]_]]_[]]_ , 75 )
( _[_[_[[[]_]_]]_[]]_ , 83 )
( _[_[_[[_[]_]_]]_[]]_ , 231 )
( _[_[_[_[_[]_]_]]_[]]_ , 265 )
( _[_[[_[]_[]]_]_[]]_ , 36 )
( _[_[[[][]]_]_[]]_ , 58 )
( _[_[[_[_[]]]_]_[]]_ , 75 )
( _[_[[[][]_]_]_[]]_ , 59 )
( _[_[[_[]_[]_]_]_[]]_ , 39 )
( _[_[[_[[]_]]_]_[]]_ , 61 )
( _[_[[_[_[]]_]_]_[]]_ , 62 )
( _[_[_[_[[]_]]_]_[]]_ , 108 )
( _[_[_[_[_[]_]]_]_[]]_ , 147 )
( _[_[_[_[_[]]_]_]_[]]_ , 121 )
( _[_[_[_[[]_]_]_]_[]]_ , 132 )
( _[_[_[][][]]_[]]_ , 18 )
( _[_[_[[]_][]]_[]]_ , 20 )
( _[_[_[_[]][]]_[]]_ , 6 )
( _[_[_[]_[][]]_[]]_ , 30 )
( _[_[_[][]_[]]_[]]_ , 12 )
( _[_[_[][_[]]]_[]]_ , 20 )
( _[_[_[][[]_]]_[]]_ , 14 )
( _[_[_[][_[]_]]_[]]_ , 50 )
( _[_[_[]_[]_[]]_[]]_ , 10 )
( _[_[_[_[]]_[]]_[]]_ , 32 )
( _[_[_[_[]_]_[]]_[]]_ , 15 )
( _[_[_[_[]]_[]_]_[]]_ , 44 )
( _[_[_[][][]_]_[]]_ , 29 )
( _[_[_[_[]_][]_]_[]]_ , 30 )
( _[_[_[]_[_[]]_]_[]]_ , 122 )
( _[_[_[]_[_[]_]_]_[]]_ , 103 )
( _[_[[[]_]_[]]_[]]_ , 25 )
( _[_[[_[]_]_[]]_[]]_ , 42 )
( _[_[[[[]_]_]_[]]_[]]_ , 6 )
( _[_[_[_[][]]]_[]]_ , 72 )
( _[_[_[_[]_[]]]_[]]_ , 75 )
( _[_[_[[][]_]]_[]]_ , 70 )
( _[_[_[_[][]_]]_[]]_ , 92 )
( _[_[_[_[]_[]_]]_[]]_ , 92 )
( _[_[_[_[_[_[]]]]]_[]]_ , 7 )
( _[_[_[_[_[[]_]]]]_[]]_ , 16 )
( _[_[_[_[_[_[]_]]]]_[]]_ , 20 )
( _[_[_[_[_[_[]]_]]]_[]]_ , 22 )
( _[_[_[_[_[[]_]_]]]_[]]_ , 16 )
( _[_[_[[][]_]_]_[]]_ , 29 )
( _[_[_[_[]_[]_]_]_[]]_ , 15 )
( _[_[_[[]_[]_]_]_[]]_ , 46 )
( _[_[_[[]_[]]_]_[]]_ , 39 )
( _[_[_[[_[]]_]_]_[]]_ , 39 )
( _[_[_[[[]_]_]_]_[]]_ , 71 )
( _[_[_[[_[]_]_]_]_[]]_ , 121 )
( _[_[_[_[_[]_]_]_]_[]]_ , 113 )
( _[_[[_[]][]_]_[]]_ , 18 )
( _[_[[]_[][]_]_[]]_ , 41 )
( _[_[[]_[_[]]]_[]]_ , 25 )
( _[_[[]_[[]_]]_[]]_ , 18 )
( _[_[[]_[_[]_]]_[]]_ , 39 )
( _[_[[_[_[]_]]_]_[]]_ , 81 )
( _[_[[_[[]_]_]_]_[]]_ , 66 )
( _[_[_[]_[_[]]]_[]]_ , 33 )
( _[_[_[]_[[]_]]_[]]_ , 15 )
( _[_[[]_[[]_]_]_[]]_ , 72 )
( _[_[_[]_[[]_]_]_[]]_ , 46 )
( _[_[_[_[]][]_]_[]]_ , 29 )
( _[_[_[]_[][]_]_[]]_ , 16 )
( _[_[[][]_[]]_[]]_ , 8 )
( _[_[[][_[]]]_[]]_ , 48 )
( _[_[[][[]_]]_[]]_ , 8 )
( _[_[[][_[]_]]_[]]_ , 40 )
( _[_[_[_[][]_]_]_[]]_ , 32 )
( _[_[]_[_[]][][]]_ , 21 )
( _[_[]_[[]_][][]]_ , 14 )
( _[_[_[]_]_[][_[_[]_]_]]_ , 2 )
( _[_[_[]_]_[][][]]_ , 47 )
( _[_[_[]_]_[_[]][]]_ , 180 )
( _[_[_[]_]_[_[_[]_]][]]_ , 10 )
( _[_[_[]_]_[_[_[]]][]]_ , 2 )
( _[_[_[]_]_[_[[]_]][]]_ , 2 )
( _[_[_[]_]_[_[_[]_]_][]]_ , 2 )
( _[_[_[]_]_[]_[][]]_ , 32 )
( _[_[_[]_]_[]_[]_[]]_ , 45 )
( _[_[[]_]_[_[]_]_[]]_ , 32 )
( _[_[[_[]]_]_[_[_[]_]_]]_ , 3 )
( _[_[_[[]_]_]_[_[_[]_]_]]_ , 3 )
( _[_[[[]_]_]_[_[_[]_]_]]_ , 3 )
( _[_[_[]_[]]_[][]]_ , 8 )
( _[_[[][]]_[][]]_ , 16 )
( _[_[_[_[]]]_[][]]_ , 38 )
( _[_[_[]_[]_]_[]_[]]_ , 37 )
( _[_[_[][]_]_[]_[]]_ , 31 )
( _[_[[_[]_]_]_[]_[]]_ , 115 )
( _[_[[[[]_]_]_]_[]_[]]_ , 5 )
( _[_[_[_[]_]_]_[]_[]]_ , 37 )
( _[_[[][]_]_[[]_]]_ , 12 )
( _[_[[][]_]_[_[]_]]_ , 17 )
( _[_[_[[]_]_[_[]_]]_[]]_ , 5 )
( _[_[[]_[]_[]_]_[]]_ , 31 )
( _[_[[[]_]_[]_]_[]]_ , 48 )
( _[_[[_[]_]_[]_]_[]]_ , 55 )
( _[_[[][]_[]_]_[]]_ , 30 )
( _[_[[][_[]_]_]_[]]_ , 45 )
( _[_[[_[]][_[]]_]_[]]_ , 10 )
( _[_[[_[]][[]_]_]_[]]_ , 5 )
( _[_[[_[]][_[]_]_]_[]]_ , 5 )
( _[_[[]_[_[][]]_]_[]]_ , 5 )
( _[_[_[][]_[]_]_[]]_ , 24 )
( _[_[_[][_[]_]_]_[]]_ , 100 )
( _[_[_[]_[]_[]_]_[]]_ , 12 )
( _[_[[_[]]_[_[]_]]_[]]_ , 5 )
( _[_[_[[_[]][]_]]_[]]_ , 6 )
( _[_[_[[]_[][]_]]_[]]_ , 6 )
( _[_[_[[]_[_[]]]]_[]]_ , 12 )
( _[_[_[[]_[[]_]]]_[]]_ , 6 )
( _[_[_[[]_[_[]_]]]_[]]_ , 6 )
( _[_[_[_[_[][]_]]]_[]]_ , 8 )
( _[_[_[_[[_[]]_]]]_[]]_ , 7 )
( _[_[_[_[[[]_]_]]]_[]]_ , 21 )
( _[_[_[_[[_[]_]_]]]_[]]_ , 14 )
( _[_[_[_[_[_[]_]_]]]_[]]_ , 18 )
( _[_[_[[_[_[]]]_]]_[]]_ , 6 )
( _[_[_[[_[[]_]]_]]_[]]_ , 18 )
( _[_[_[[_[_[]_]]_]]_[]]_ , 18 )
( _[_[_[[_[_[]]_]_]]_[]]_ , 6 )
( _[_[_[[_[[]_]_]_]]_[]]_ , 6 )
( _[_[[[]_[]_]_]_[]]_ , 20 )
( _[_[[[]_[]]_]_[]]_ , 26 )
( _[_[[[_[]]_]_]_[]]_ , 9 )
( _[_[[[_[]_]_]_]_[]]_ , 32 )
( _[_[[_[_[]_]_]_]_[]]_ , 66 )
( _[_[[_[][]]_]_[]]_ , 17 )
( _[_[[_[][]_]_]_[]]_ , 12 )
( _[_[[_[_[_[]]]]_]_[]]_ , 5 )
( _[_[[_[_[[]_]]]_]_[]]_ , 15 )
( _[_[[_[_[_[]_]]]_]_[]]_ , 15 )
( _[_[[_[_[_[]]_]]_]_[]]_ , 5 )
( _[_[[_[_[[]_]_]]_]_[]]_ , 5 )
( _[_[_[_[][]]_]_[]]_ , 50 )
( _[_[_[]_][][_[_[]_]_]]_ , 4 )
( _[_[_[]_][][][]]_ , 60 )
( _[_[_[]_][_[]][]]_ , 98 )
( _[_[_[]_][_[_[]_]][]]_ , 20 )
( _[_[_[]_][_[_[]]][]]_ , 4 )
( _[_[_[]_][_[[]_]][]]_ , 4 )
( _[_[_[]_][_[_[]_]_][]]_ , 4 )
( _[_[_[]_][]_[][]]_ , 28 )
( _[_[_[]_][]_[]_[]]_ , 53 )
( _[_[_[]_][_[]]_[]]_ , 108 )
( _[_[_[]_][_[]_]_[]]_ , 227 )
( _[_[_[]][][]_[]]_ , 13 )
( _[_[_[]][][_[]_]]_ , 59 )
( _[_[_[]][][_[_[]_]_]]_ , 2 )
( _[_[_[]][][][]]_ , 15 )
( _[_[_[]][][[]_]]_ , 6 )
( _[_[_[]][_[]][]]_ , 44 )
( _[_[_[]][[]_][]]_ , 10 )
( _[_[_[]][_[]_][]]_ , 72 )
( _[_[_[]][_[_[]_]][]]_ , 10 )
( _[_[_[]][_[_[]]][]]_ , 2 )
( _[_[_[]][_[[]_]][]]_ , 2 )
( _[_[_[]][_[_[]_]_][]]_ , 2 )
( _[_[_[]][]_[][]]_ , 12 )
( _[_[_[]][]_[]_[]]_ , 18 )
( _[_[_[]][]_[[]_]]_ , 36 )
( _[_[_[]][]_[_[]_]]_ , 80 )
( _[_[_[_[]]_][_[]_]_[]]_ , 10 )
( _[_[_[_[]]_]_[[]_]_[]]_ , 7 )
( _[_[_[_[]]_]_[_[_[]_]_]]_ , 18 )
( _[_[_[]]_[_[_[]_]]_[]]_ , 3 )
( _[_[_[_[]]_]_[][[]_]]_ , 4 )
( _[_[_[_[]]_]_[][_[]_]]_ , 7 )
( _[_[_[_[]]_]_[[]_][]]_ , 4 )
( _[_[_[_[]]_]_[_[]_][]]_ , 5 )
( _[[]_[][_[]_[]]_]_ , 6 )
( _[[]_[][[]_[]_]_]_ , 6 )
( _[[]_[][[][]_]_]_ , 12 )
( _[[]_[][[]_[]]_]_ , 6 )
( _[[]_[][[_[]]_]_]_ , 12 )
( _[[]_[][[_[]_]_]_]_ , 6 )
( _[[]_[][_[_[]]_]_]_ , 12 )
( _[[]_[][_[[]_]_]_]_ , 12 )
( _[[]_[][_[_[]_]_]_]_ , 24 )
( _[[]_[_[][]_][]_]_ , 5 )
( _[[]_[[_[]]_][]_]_ , 10 )
( _[[]_[[[]_]_][]_]_ , 13 )
( _[[]_[[_[]_]_][]_]_ , 13 )
( _[[]_[_[_[]]_][]_]_ , 26 )
( _[[]_[_[[]_]_][]_]_ , 17 )
( _[[]_[_[_[]_]_][]_]_ , 19 )
( _[[]_[]_[[_[]_]_]_]_ , 104 )
( _[[]_[_[][]_]_[]_]_ , 10 )
( _[[]_[[_[]]_]_[]_]_ , 20 )
( _[[]_[[[]_]_]_[]_]_ , 23 )
( _[[]_[[_[]_]_]_[]_]_ , 24 )
( _[[]_[_[_[]]_]_[]_]_ , 53 )
( _[[]_[_[[]_]_]_[]_]_ , 47 )
( _[[]_[_[_[]_]_]_[]_]_ , 27 )
( _[[]_[_[_[]_][]]_]_ , 12 )
( _[[]_[_[_[]]_[]]_]_ , 118 )
( _[[]_[_[[]_]_[]]_]_ , 93 )
( _[[]_[_[_[]_]_[]]_]_ , 132 )
( _[[]_[_[][]_[]]_]_ , 37 )
( _[[]_[_[]_[]_[]]_]_ , 24 )
( _[[]_[_[_[]][]_]_]_ , 48 )
( _[[]_[_[[]_][]_]_]_ , 71 )
( _[[]_[_[_[]_][]_]_]_ , 106 )
( _[[]_[_[][][]_]_]_ , 34 )
( _[[]_[_[][_[]_]_]_]_ , 66 )
( _[[]_[_[]_[_[]_]_]_]_ , 65 )
( _[[]_[_[]_[_[]]_]_]_ , 48 )
( _[[]_[_[]_[[]_]_]_]_ , 50 )
( _[[]_[_[][]_[]_]_]_ , 25 )
( _[[]_[_[][_[]]_]_]_ , 42 )
( _[[]_[_[_[]_[]]]_]_ , 22 )
( _[[]_[_[[][]]]_]_ , 12 )
( _[[]_[_[[[]_]_]]_]_ , 42 )
( _[[]_[_[_[_[]]_]]_]_ , 65 )
( _[[]_[_[_[]_[]]_]_]_ , 72 )
( _[[]_[_[_[][]]_]_]_ , 107 )
( _[[]_[_[[][]_]_]_]_ , 96 )
( _[[]_[_[[]_[]]_]_]_ , 58 )
( _[[]_[_[[_[]_]_]_]_]_ , 372 )
( _[[]_[_[[_[]]_]_]_]_ , 258 )
( _[[]_[_[[[]_]_]_]_]_ , 122 )
( _[[]_[_[_[[]_]_]_]_]_ , 264 )
( _[[]_[_[_[]_[]_]_]_]_ , 57 )
( _[[]_[_[_[][]_]_]_]_ , 79 )
( _[[]_[_[_[_[[]_]_]]_]_]_ , 9 )
( _[[]_[_[_[_[]]_]_]_]_ , 311 )
( _[[]_[[_[]]_[]_]_]_ , 13 )
( _[[]_[[[]_]_[]_]_]_ , 26 )
( _[[]_[[_[]_]_[]_]_]_ , 18 )
( _[[]_[[_[]][]_]_]_ , 20 )
( _[[]_[[[]_][]_]_]_ , 47 )
( _[[]_[[_[]_][]_]_]_ , 32 )
( _[[]_[_[][[]_]_]_]_ , 48 )
( _[[]_[_[_[]_]_[]_]_]_ , 112 )
( _[[]_[_[_[]]_[]_]_]_ , 114 )
( _[[]_[_[[]_]_[]_]_]_ , 147 )
( _[[]_[[_[]]_[]]_]_ , 7 )
( _[[]_[[[]_]_[]]_]_ , 21 )
( _[[]_[[_[]_]_[]]_]_ , 14 )
( _[[]_[_[[]_[]_]_]_]_ , 78 )
( _[[[]_]_[_[]_][]_]_ , 16 )
( _[[[]_]_[_[]_[]]_]_ , 33 )
( _[[[]_]_[[]_[]_]_]_ , 72 )
( _[[[]_]_[[][]_]_]_ , 70 )
( _[[[]_]_[[]_[]]_]_ , 32 )
( _[[[]_]_[[_[]]_]_]_ , 69 )
( _[[[]_]_[[_[]_]_]_]_ , 116 )
( _[[[]_]_[_[_[]]_]_]_ , 156 )
( _[[[]_]_[_[[]_]_]_]_ , 94 )
( _[[[]_]_[_[_[]_]_]_]_ , 164 )
( _[[[]_]_[[][]]_]_ , 34 )
( _[[[]_]_[[[]_]_]_]_ , 72 )
( _[[[]_]_[_[][]]_]_ , 16 )
( _[[[]_]_[_[][]_]_]_ , 42 )
( _[[[]_]_[_[]_[]_]_]_ , 45 )
( _[[[]_]_[_[_[]]]_]_ , 24 )
( _[[[]_]_[_[[]_]]_]_ , 28 )
( _[[[]_]_[_[_[]_]]_]_ , 44 )
( _[[_[[]_]]_[][]_]_ , 22 )
( _[[_[[]_]]_[[_[]_]_]_]_ , 6 )
( _[[[_[]_]_]_[][]_]_ , 96 )
( _[[[_[]_]_]_[]_[]_]_ , 104 )
( _[[[_[]_]_]_[_[]]_]_ , 196 )
( _[[[_[]_]_]_[[]_]_]_ , 284 )
( _[[[_[]_]_]_[[_[]_]_]_]_ , 18 )
( _[[[_[]_]_]_[_[]_]_]_ , 466 )
( _[[[_[]]_]_[[_[]_]_]_]_ , 9 )
( _[[[_[]_]_[]_]_[]_]_ , 76 )
( _[[[]_[_[]]]_[]_]_ , 46 )
( _[[[]_[[]_]]_[]_]_ , 45 )
( _[[[[_[]]_]_]_[]_]_ , 44 )
( _[[[_[[]_]_]_]_[]_]_ , 89 )
( _[[[_[][]]_]_[]_]_ , 44 )
( _[[[_[_[]_]]_]_[]_]_ , 91 )
( _[[][]_[_[]_][]_]_ , 14 )
( _[[][]_[_[]_[]]_]_ , 30 )
( _[[][]_[[]_[]_]_]_ , 30 )
( _[[][]_[[][]_]_]_ , 48 )
( _[[][]_[[]_[]]_]_ , 30 )
( _[[][]_[[_[]]_]_]_ , 40 )
( _[[][]_[_[_[]]_]_]_ , 90 )
( _[[][]_[_[[]_]_]_]_ , 78 )
( _[[][]_[_[_[]_]_]_]_ , 105 )
( _[[][]_[[][]]_]_ , 24 )
( _[[][]_[[[]_]_]_]_ , 44 )
( _[[][]_[_[][]]_]_ , 28 )
( _[[][]_[_[][]_]_]_ , 20 )
( _[[][]_[_[]_[]_]_]_ , 18 )
( _[[][]_[_[_[]]]_]_ , 20 )
( _[[][]_[_[[]_]]_]_ , 44 )
( _[[][]_[_[_[]_]]_]_ , 60 )
( _[[][][]_[_[]_]_]_ , 58 )
( _[[][][][]_[]_]_ , 14 )
( _[[][][][][]_]_ , 12 )
( _[[][][][_[]]_]_ , 16 )
( _[[][][][_[]_]_]_ , 18 )
( _[[][][]_[]_[]_]_ , 6 )
( _[[][][]_[_[]]_]_ , 28 )
( _[[][][]_[[]_]_]_ , 36 )
( _[[][][]_[[_[]_]_]_]_ , 4 )
( _[[][][_[]]_[]_]_ , 36 )
( _[[][][[]_]_[]_]_ , 6 )
( _[[][][_[]_]_[]_]_ , 30 )
( _[[][][_[_[]_]]_]_ , 142 )
( _[[][][_[_[]]]_]_ , 50 )
( _[[][][_[[]_]]_]_ , 80 )
( _[[][][_[_[]_]_]_]_ , 108 )
( _[[][][_[]_[]]_]_ , 25 )
( _[[][][_[][]]_]_ , 24 )
( _[[][][[][]_]_]_ , 18 )
( _[[][][[]_[]]_]_ , 10 )
( _[[][][[_[]_]_]_]_ , 36 )
( _[[][][[_[]]_]_]_ , 20 )
( _[[][][[[]_]_]_]_ , 15 )
( _[[][][_[[]_]_]_]_ , 78 )
( _[[][][_[]_[]_]_]_ , 18 )
( _[[][][_[][]_]_]_ , 22 )
( _[[][][_[_[[]_]_]]_]_ , 6 )
( _[[][][_[_[]]_]_]_ , 34 )
( _[[][][_[]_][]_]_ , 6 )
( _[[][][[][]]_]_ , 6 )
( _[[][]_[_[]]_[]_]_ , 12 )
( _[[][]_[[]_]_[]_]_ , 7 )
( _[[][]_[_[]_]_[]_]_ , 6 )
( _[[][]_[_[]][]_]_ , 16 )
( _[[][]_[[]_][]_]_ , 8 )
( _[[][[]_][]_]_ , 41 )
( _[[_[]_][_[]][]_]_ , 83 )
( _[[_[]_][[]_][]_]_ , 38 )
( _[[_[]][_[]][]_]_ , 32 )
( _[[_[]][[]_][]_]_ , 13 )
( _[[[]_][_[]]_[]_]_ , 13 )
( _[[[]_][[]_]_[]_]_ , 15 )
( _[[[]_][_[]_]_[]_]_ , 10 )
( _[[[]_][_[]][]_]_ , 16 )
( _[[[]_][[]_][]_]_ , 8 )
( _[[[]_][_[]_][]_]_ , 8 )
( _[[[]_][_[_[]_]]_]_ , 55 )
( _[[[]_][_[]_[]]_]_ , 18 )
( _[[[]_][_[][]]_]_ , 18 )
( _[[[]_][[][]_]_]_ , 32 )
( _[[[]_][[]_[]]_]_ , 19 )
( _[[[]_][_[[]_]]_]_ , 40 )
( _[[[]_][_[_[]]]_]_ , 14 )
( _[[[]_][[_[]_]_]_]_ , 59 )
( _[[[]_][[_[]]_]_]_ , 34 )
( _[[[]_][[[]_]_]_]_ , 20 )
( _[[[]_][_[_[]_]_]_]_ , 64 )
( _[[[]_][_[[]_]_]_]_ , 53 )
( _[[_[]][[]_[]_]_]_ , 8 )
( _[[_[]_][[]_[]_]_]_ , 81 )
( _[[_[_[]]_][[]_[]_]_]_ , 7 )
( _[[_[_[]]_][[][]_]_]_ , 12 )
( _[[_[_[]]_][[]_[]]_]_ , 5 )
( _[[_[_[]]_][[_[]]_]_]_ , 13 )
( _[[_[_[]]_][[_[]_]_]_]_ , 9 )
( _[[_[_[]]_][_[[]_]_]_]_ , 12 )
( _[[_[[]_]][_[]_[]]_]_ , 2 )
( _[[_[[]_]][[]_[]_]_]_ , 2 )
( _[[_[[]_]][[][]_]_]_ , 4 )
( _[[_[[]_]][[]_[]]_]_ , 2 )
( _[[_[[]_]][[]_]_]_ , 50 )
( _[[_[[]_]][[_[]]_]_]_ , 4 )
( _[[_[[]_]][[_[]_]_]_]_ , 2 )
( _[[_[[]_]][_[_[]]_]_]_ , 4 )
( _[[_[[]_]][_[[]_]_]_]_ , 4 )
( _[[_[[]_]][_[_[]_]_]_]_ , 8 )
( _[[[]_][[]_[]_]_]_ , 24 )
( _[[[]_][_[_[]]_]_]_ , 36 )
( _[[[_[]_]_][]_[]_]_ , 190 )
( _[[[_[]_]_][][]_]_ , 72 )
( _[[[_[]_]_][_[]_[]]_]_ , 8 )
( _[[[_[]_]_][[]_[]_]_]_ , 8 )
( _[[[_[]_]_][[][]_]_]_ , 16 )
( _[[[_[]_]_][[]_[]]_]_ , 8 )
( _[[[_[]_]_][_[]]_]_ , 112 )
( _[[[_[]_]_][[]_]_]_ , 166 )
( _[[[_[]_]_][[_[]]_]_]_ , 16 )
( _[[[_[]_]_][[_[]_]_]_]_ , 8 )
( _[[[_[]_]_][_[_[]]_]_]_ , 16 )
( _[[[_[]_]_][_[[]_]_]_]_ , 16 )
( _[[[_[]_]_][_[_[]_]_]_]_ , 34 )
( _[[[_[]]_][_[]_[]]_]_ , 6 )
( _[[[_[]]_][[]_[]_]_]_ , 6 )
( _[[[_[]]_][[][]_]_]_ , 12 )
( _[[[_[]]_][[]_[]]_]_ , 6 )
( _[[[_[]]_][[_[]]_]_]_ , 12 )
( _[[[_[]]_][[_[]_]_]_]_ , 6 )
( _[[[_[]]_][_[_[]]_]_]_ , 12 )
( _[[[_[]]_][_[[]_]_]_]_ , 12 )
( _[[[_[]]_][_[_[]_]_]_]_ , 20 )
( _[[_[][_[]]][]_]_ , 29 )
( _[[_[][[]_]][]_]_ , 24 )
( _[[[_[]_]_[]_][]_]_ , 138 )
( _[[[]_[_[]]][]_]_ , 24 )
( _[[[]_[[]_]][]_]_ , 23 )
( _[[_[_[]_[]]][]_]_ , 50 )
( _[[_[_[_[]]]][]_]_ , 65 )
( _[[[[_[]]_]_][]_]_ , 20 )
( _[[[_[[]_]_]_][]_]_ , 41 )
